"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Stroke Rate","Max Stroke Rate","Avg Distance per Stroke","Calories","Best Pace","Moving Time","Avg Moving Pace"
"1","3:43.0","3:43.0","465","4:00","116","130","--","2","18","25","7.83","24","2:20","3:43","4:00"
"2","2:26.0","6:09.0","335","3:38","124","134","1","--","16","18","9.77","18","2:09","2:26","3:38"
"3","3:38.0","9:47.0","312","5:49","112","126","--","1","25","44","8.26","20","2:16","2:20","3:44"
"4","8:29.0","18:16","984","4:19","114","150","--","--","23","51","7.90","40","2:05","7:19","3:43"
"5","3:02.0","21:18","520","2:55","147","154","--","--","17","23","9.76","29","2:03","3:02","2:55"
"6","1:25.0","22:43","234","3:02","148","154","--","--","17","21","9.11","13","2:16","1:25.0","3:02"
"7","5:12.0","27:55","404","6:26","114","144","--","--","18","20","8.56","22","2:02","3:39","4:31"
"8","2:07.0","30:02","357","2:58","144","150","--","--","17","23","9.54","19","2:01","2:07.0","2:58"
"9","2:27","32:29","404","3:02","147","151","--","--","17","18","9.74","23","2:06","2:27","3:02"
"10","1:57.0","34:26","329","2:58","154","164","--","--","20","24","8.31","19","2:08","1:57","2:58"
"11","2:19.0","36:45","394","2:56","157","166","--","--","20","24","8.26","23","2:06","2:19","2:56"
"12","1:41.0","38:26","308","2:44","158","171","--","--","22","26","8.14","17","2:06","1:41.0","2:44"
"13","3:51","42:17","609","3:10","150","170","--","--","20","32","7.58","35","2:14","3:51","3:10"
"14","1:58","44:15","335","2:56","160","171","--","--","21","29","7.92","20","1:59","1:58","2:56"
"15","0:30.7","44:46","76","3:22","136","140","--","--","20","25","6.79","4","2:34","0:30.7","3:22"
"Summary","44:46","44:46","6,066","3:41","132","171","1","3","20","51","8.55","326","1:59","40:45","3:22"
